split,y_true,y_pred
train,44.0,45.15415604684733
train,24.0,22.12512362389973
train,44.0,44.02542931173717
train,59.0,50.706954834071595
train,30.0,36.11745703860483
train,52.0,52.746478838205356
train,24.0,25.537306787931637
train,50.0,53.30687851693083
train,59.0,59.542517154198876
train,56.0,51.74693084492836
train,44.0,40.58819291164402
train,30.0,36.70125796471054
train,50.0,59.01954760517992
train,59.0,60.91788062039485
train,44.0,46.171172331085465
train,30.0,38.65346688083643
train,50.0,42.61329610734921
train,30.0,34.17517136972204
train,34.0,34.77680834870068
train,61.0,58.30925086271582
train,18.0,13.797889568492124
train,24.0,27.310825629619647
train,30.0,34.54819629533209
train,46.0,46.77166788477254
