var1,var2,r,abs_r,banda
phase_unwrap_k_slope_mean,pdp_papr_linear,-0.9811301502778308,0.9811301502778308,0.95 <= |r| < 0.99
phase_unwrap_k_slope_mean,pdp_los_ratio,-0.9811301500037475,0.9811301500037475,0.95 <= |r| < 0.99
phase_unwrap_m_var,pdp_papr_linear,-0.9809701176398216,0.9809701176398216,0.95 <= |r| < 0.99
phase_unwrap_m_var,pdp_los_ratio,-0.9809701173710561,0.9809701173710561,0.95 <= |r| < 0.99
phase_unwrap_k_slope_var,pdp_rms_delay_spread,0.980673618688941,0.980673618688941,0.95 <= |r| < 0.99
phase_unwrap_m_slope_var,pdp_rms_delay_spread,0.9805336225768008,0.9805336225768008,0.95 <= |r| < 0.99
phase_unwrap_k_mean,pdp_papr_linear,-0.9805171998944573,0.9805171998944573,0.95 <= |r| < 0.99
phase_unwrap_k_mean,pdp_los_ratio,-0.9805171996162316,0.9805171996162316,0.95 <= |r| < 0.99
mag_percentile_75,mag_dynamic_range_linear,0.9798676915251868,0.9798676915251868,0.95 <= |r| < 0.99
mag_energy_total,mag_max,0.979832755608665,0.979832755608665,0.95 <= |r| < 0.99
mag_max,pdp_total_energy,0.9798327556086518,0.9798327556086518,0.95 <= |r| < 0.99
mag_percentile_25,mag_percentile_99,0.9797407778453716,0.9797407778453716,0.95 <= |r| < 0.99
phase_jump_k_mean_abs,pdp_rms_delay_spread,0.9794542929647855,0.9794542929647855,0.95 <= |r| < 0.99
phase_unwrap_k_var,pdp_rms_delay_spread,-0.9792339030373386,0.9792339030373386,0.95 <= |r| < 0.99
mag_max,svd_sigma_1,0.9787659297098975,0.9787659297098975,0.95 <= |r| < 0.99
mag_max,pdp_los_peak_power,0.9786536955047616,0.9786536955047616,0.95 <= |r| < 0.99
mag_dynamic_range_linear,pdp_los_peak_power,0.9784565051564745,0.9784565051564745,0.95 <= |r| < 0.99
mag_rms,mag_dynamic_range_linear,0.9781127471038739,0.9781127471038739,0.95 <= |r| < 0.99
phase_unwrap_k_slope_mean,pdp_rms_delay_spread,0.977319481080413,0.977319481080413,0.95 <= |r| < 0.99
phase_unwrap_m_var,pdp_rms_delay_spread,0.977101720945204,0.977101720945204,0.95 <= |r| < 0.99
mag_percentile_50,mag_dynamic_range_linear,0.9770802591263119,0.9770802591263119,0.95 <= |r| < 0.99
mag_mean,mag_percentile_5,0.9769547051406963,0.9769547051406963,0.95 <= |r| < 0.99
mag_percentile_5,svd_sigma_1,0.9768339386364477,0.9768339386364477,0.95 <= |r| < 0.99
phase_unwrap_k_mean,pdp_rms_delay_spread,0.9765761636776752,0.9765761636776752,0.95 <= |r| < 0.99
mag_mean,mag_dynamic_range_linear,0.9763264550814127,0.9763264550814127,0.95 <= |r| < 0.99
mag_percentile_99,pdp_los_peak_power,0.9762286784199883,0.9762286784199883,0.95 <= |r| < 0.99
mag_percentile_1,mag_percentile_5,0.9755376040328054,0.9755376040328054,0.95 <= |r| < 0.99
mag_rms,mag_percentile_5,0.9745954830226793,0.9745954830226793,0.95 <= |r| < 0.99
mag_max,mag_percentile_25,0.9745928232290356,0.9745928232290356,0.95 <= |r| < 0.99
mag_percentile_95,pdp_los_peak_power,0.9740644604557024,0.9740644604557024,0.95 <= |r| < 0.99
mag_percentile_5,mag_percentile_50,0.9739012140343991,0.9739012140343991,0.95 <= |r| < 0.99
pdp_los_peak_power,svd_sigma_1,0.9728061734525878,0.9728061734525878,0.95 <= |r| < 0.99
mag_rms,pdp_los_peak_power,0.9722332514446157,0.9722332514446157,0.95 <= |r| < 0.99
mag_mean,pdp_los_peak_power,0.9719398272331425,0.9719398272331425,0.95 <= |r| < 0.99
mag_percentile_50,pdp_los_peak_power,0.9716075259850201,0.9716075259850201,0.95 <= |r| < 0.99
mag_energy_total,mag_percentile_99,0.9713786730989542,0.9713786730989542,0.95 <= |r| < 0.99
mag_percentile_99,pdp_total_energy,0.9713786730989493,0.9713786730989493,0.95 <= |r| < 0.99
mag_percentile_75,pdp_los_peak_power,0.9707769603489559,0.9707769603489559,0.95 <= |r| < 0.99
mag_dynamic_range_linear,svd_sigma_1,0.9695275830789841,0.9695275830789841,0.95 <= |r| < 0.99
